Item_Permanent_Shelving_Location,Item_Call_Number,Author_Name,Title,Material_Format,OCLC_Number,Title_ISBN,Publication_Date,Item_Barcode,LHR_Item_Cost,LHR_Item_Nonpublic_Note,LHR_Item_Public_Note
recommendation area,Rem,"Bernstein, Matt A.; King, Kevin Franklin.Zhou, Xiaohong Joe.",Handbook of MRI pulse sequences /,Book,52853493,0120928612^9780120928613,2004,5124979,,EXJ204,
recommendation area,Pro,"Walsh, Philip P.; Fletcher, Paul,",Gas turbine performance /,Book,53306494,063206434X^0791802116^9780632064342^9780791802113,2004,5130930,,NJH204,
recommendation area,Wan,"Oswald, Franz,; Baccini, P.Michaeli, Mark,",Netzstadt :designing the urban /,Book,54466746,3764369639^9783764369637,2003,3797897,,BK Z.IV.500 a,
recommendation area,Rem,"Prince, Jerry L.; Links, Jonathan M.",Medical imaging signals and systems /,Book,56807792,0130653535^9780130653536,2006,3862060,,KLT206,
recommendation area,Hel,"Elton, Ben,",This other Eden /,Book,60511386,0552151009^055277183X^9780552151009^9780552771832,2003,5124934,,,
recommendation area,Ste,"Næss, Petter.","Urban structure matters :residential location, car dependence and travel behaviour /",Book,62326758,0203099184^0415375746^9780203099186^9780415375740,2006,3854450,,VMD206,
recommendation area,TR diss 4424,"Dias, Alfredo Manuel Pereira Geraldes,",Mechanical behaviour of timber-concrete joints /,Book_thsis,65870893,909019214X^9789090192147,2005,5131507,,,
recommendation area,TR diss 4427,"Viale, Sebastien Matthieu Jean,; Technische Universiteit (Delft)",Liquid crystalline behaviour of water-soluble sulfonated polyaramids /,Book_thsis,65870921,9090192530^9789090192536,2005,5132008,,,
recommendation area,TR diss 4426,"Duijne, Freija van",Risk perception in product use /,Book_thsis,65871995,9090192174^9789090192178,2005,5131785,,,
recommendation area,TR diss 4454,"Alderliesten, Reyndert Christiaan,",Fatigue crack propagation and delamination growth in glare /,Book_thsis,65917584,9040725888^9789040725883,2005,5131509,,,
recommendation area,TR diss 4473,"Elsner, Alexander,",Advanced hot rolling strategies for IF and TRIP steels /,Book_thsis,66342378,9040725918^9789040725913,2005,5131510,,,
recommendation area,TR diss 4469,"Rijck, Johannes Jacobus Maria de,",Stress analysis of fatigue cracks in mechanically fastened joints :an analytical and experimental investigation /,Book_thsis,66344054,904072590X^9789040725906,2005,5131409,,,
recommendation area,TR diss 4444,"Al-Sakkaf, Rafik Abdulaziz Mohammed,",Hydrologic response and transmission losses in arid and semiarid catchments /,Book_thsis,66344895,9090196153^9789090196152,2005,5132009,,,
recommendation area,TR diss 4477,"Soekijad, Maura,",Dare to share :knowledge sharing professionals in co-opetitive networks /,Book_thsis,66411962,9090195653^9789090195650,2005,5131669,,,
recommendation area,TR diss 4537,"Ertsen, Maurits",Prescribing perfection :emergence of an engineering irrigation design approach in the Netherlands East Indies and its legacy 1830-1990 /,Book_thsis,66446970,9085590884^9789085590880,2005,5132012,,,
recommendation area,TR diss 4513,"Renssen, Andries van",Gellish :a generic extensible ontologial language : design and application of a universal data structure /,Book_thsis,66452971,9040725977^9789040725975,2005,3842236,,,
recommendation area,TR diss 4540,"Duintjer Tebbens, Radboud Jacobus,",Quantitative analysis of trade-offs and model input sensitivities in public health /,Book_thsis,66452979,9040726116^9789040726118,2005,5131980,,,
recommendation area,TR Diss 4562,"Jacobs, Peter Hubertus Maria,",The DSOL simulation suite :enabling multi-formalism simulation in a distributed context /,Book_thsis,66459522,9090198350^9789090198354,2005,5131670,,,Bevat CD-Rom
recommendation area,TR diss 4518,"Wendel de Joode, R. van",Understanding open source communities :an organizational perspective /,Book_thsis,66460337,9056381385^9789056381387,2005,5131786,,,
recommendation area,TR diss 4410,"Rietveld, Louis Cornelis.",Improving operation of drinking water treatment through modelling /,Book_thsis,66469104,,2005,5132006,,,
recommendation area,TR diss 5992,"Dittrich, K.",Innovation networks :exploration and exploitation in the ICT industry /,Book_thsis,66600343,9056381261^9789056381264,2004,3858471,,,
recommendation area,TR diss 5396,"Lei, Bangjun,; Advanced School for Computing and Imaging.",A viewpoint adaptive system for 3-D telepresence /,Book_thsis,66731902,9090172467^9789090172460,2003,5131335,,,
recommendation area,Fli,"Remmerswaal, Han.; Brezet, J.C.",Milieugerichte productontwikkeling /,Book,67713361,9039505837^9789039505830,2000,5130650,,25236157,
recommendation area,TR diss 4532,"Roelands, Cornelis Petrus Marcus,",Polymorphism in precipitation processes /,Book_thsis,71682231,9090198156^9789090198156,2005,5132011,,,
recommendation area,TR diss 4628,"Ajodhia, Virendra",Regulating beyong price :integrated price-quality regulation for electricity distribution networks /,Book_thsis,71682737,9090196528^9789090196527,2005,5131790,,,
recommendation area,TR diss 4580,"Légrády, Dávid,",Improved Monte Carlo methods with application to borehole logging simulations /,Book_thsis,71705804,9040726140^9789040726149,2005,5131413,,,
recommendation area,TR diss 4546,"Vervenne, Koen,",Gradient-based approximate design optimization /,Book_thsis,71706382,9040726086^9789040726088,2005,5131411,,,
recommendation area,TR diss 4565,"Wamelen, J.P. van",Organisatie van de informatievoorziening bij publieke organisaties in een netwerkmaatschappij /,Book_thsis,71706394,9040726094^9789040726095,2005,5131787,,,
recommendation area,TR diss 4604,"Elkadi, Ahmed Said Kamal,",Fracture scaling of concrete under multiaxial compression /,Book_thsis,71720878,9040726124^9789040726125,2005,5131513,,,
recommendation area,TR diss 4619,"Marković, Ivan,",High-performance Hybrid-Fibre Concrete :development and utilisation /,Book_thsis,71722883,9040726213^9789040726217,2006,5131516,,,
recommendation area,Elk,"Gershenfeld, Neil A.",Fab :the coming revolution on your desktop--from personal computers to personal fabrication /,Book,141382385,0465027458^0465027466^9780465027453^9780465027460,2007,5130063,28.00 EUR,,
recommendation area,TR diss 5198,"Lemstra, W.",The internet bubble and the impact on the development path of the telecommunication sector /,Book_thsis,150145706,908108951X^9789081089517,2006,5131800,,,
recommendation area,TR diss 4642,"Eijck, Lambert van,",Local coupling of charge and polymer dynamics /,Book_thsis,150175912,,2006,5131517,,,
recommendation area,TR diss 4719,"Sunikka, Minna",Policies for improving energy efficiency in the European housing stock /,Book_thsis,150213140,1586036491^9781586036492,2006,5132237,,,
recommendation area,TR diss 4878,"Pelgrum, Wouter Johan,",New potential of low-frequency radionavigation in the 21st century /,Book_thsis,150391962,9081119818^9789081119818,2006,5132142,,,
recommendation area,TR diss 4665,"Beumer, Jenny Joyce,; Rowling, Nick,",Application sharing services :design and performance /,Book_thsis,150394516,9068240218^9789068240214,2006,5131791,,,
recommendation area,TR diss 4843,"Miska, Marc Philipp,; TRAIL Onderzoekschool.",Microscopic online simulation for real time traffic management /,Book_thsis,150403846,9055840823^9789055840823,2006,5131417,,,
recommendation area,TR diss 5200,"Trip, J. J.; Delft Centre for Sustainable Urban Areas.","What makes a city? :planning for ""quality of place"" : the case of high-speed train station area redevelopment /",Book_thsis,159822874,1586037161^9781586037161,2007,5132149,,,
recommendation area,TR diss 6969,"Bolderheij, F.","Mission-driven sensor management :analysis, design, implementation and simulation /",Book_thsis,212076881,9076928134^9789076928135,2007,3859888,,,
recommendation area,TR diss 5055,"Beerepoot, Wilhelmina Maria Catharina,",Energy policy instruments and technical change in the residential building sector /,Book_thsis,212413777,,2007,5132241,,,
recommendation area,TR diss 5152,"Helm, Alexander Wilhelmus Cornelis van der.",Integrated modeling of ozonation for optimization of drinking water treatment /,Book_thsis,212424188,9089570012^9789089570017,2007,5132015,,,
recommendation area,TR diss 5123,"Star, Wouter Roelof Lambertus van der,",Growth and metabolism of anammox bacteria /,Book_thsis,226281900,9090227717^9789090227719,2008,5131876,,,
recommendation area,TR diss 5180,"Nguyen Minh Quy,",Approach channels :risk- and simulation-based design /,Book_thsis,231213220,909023201X^9789090232010,2008,5131420,,,
recommendation area,TR diss 4675,"Çopuroǧlu, O.","The characterisation, improvement and modelling aspects of frost slat scaling of cement-based materials with a high slag cement /",Book_thsis,231307946,9090206221^9789090206226,2006,5131521,,,
recommendation area,TR diss 5130,"Agusdinata, Buyung",Exploratory modeling and analysis :a promising method to deal with deep uncertainty /,Book_thsis,231311850,9071382265^9789071382260,2008,5009020,,,
recommendation area,TR diss 5125,"Zandvliet, Maarten Johan,",Model-based lifecycle optimization of well locations and production settings in petroleum reservoirs /,Book_thsis,232108203,9090229876^9789090229874,2008,5131794,,,
recommendation area,TR diss 5303,"Hendriks, Richard Christian,",Advances in DFT-based single-microphone speech enhancement /,Book_thsis,232592816,9090226907^9789090226903,2008,5131332,,,
recommendation area,TR diss 5159,"Leendertz, Johan Sebastiaan,",Fatigue behaviour of closed stiffener to crossbeam connections in orthotropic steel bridge decks /,Book_thsis,232597705,9090227989^9789090227986,2008,5131523,,,
recommendation area,TR diss 4773,"Morren, Johannes,",Grid support by power electronic converters of distributed generation units /,Book_thsis,232616280,9081108514^9789081108515,2006,5131674,,,
recommendation area,TR diss 5172,Vu Ngoc Pi.,Performance enhancement of abrasive waterjet cutting /,Book_thsis,232616544,9090230963^9789090230962,2008,5132016,,,
recommendation area,TR diss 5189,"Mossel, Johan Hendrik van,",The purchasing of maintenance service delivery in the Dutch social housing sector :optimising commodity strategies for delivering maintenance services to tenants /,Book_thsis,232859889,,2008,5132244,,,
recommendation area,TR diss 5182,"Waterhout, Bas,",The institutionalisation of European spatial planning /,Book_thsis,232859904,1586038826^9781586038823,2008,5131796,,,
recommendation area,TR diss 4678,"Bree, Martin Anthonius de,",Waste and innovation :how waste companies and government can interact to stimulate innovation in the Dutch waste industry /,Book_thsis,236237664,908096185X^9789080961852,2006,5131792,,,
recommendation area,TR diss 5400,"Kleefsman, Willemina Anna,",Aerosol MALDI mass spectrometry for bioaerosol analysis /,Book_thsis,244786061,9090233873^9789090233871,2008,5121617,,,
recommendation area,TR diss 5214,"Annema, J.A.; TRAIL Onderzoekschool.",The practice of forward-looking transport policy assessment studies /,Book_thsis,245531805,905584103X^9789055841035,2008,5131802,,,
recommendation area,TR diss 5215,"Nijland, H.A.; TRAIL Onderzoekschool.",Theory and practice of the assessment and valuation of noise from roads and railroads in Europe /,Book_thsis,245532373,9055841048^9789055841042,2008,5132150,,,
recommendation area,TR diss 5291,"Li, Minwei,; TRAIL Onderzoekschool.",Robustness analysis for road networks :a framework with combined DTA models /,Book_thsis,274839236,9055841099^9789055841097,2008,5132153,,,
recommendation area,TR diss 5292,"Taale, H.; TRAIL Onderzoekschool.",Integrated anticipatory control of road networks :a game-theoretical approach /,Book_thsis,274848629,9055841080^9789055841080,2008,5132154,,,
recommendation area,TR diss 5124,"Sakulpipatsin, Poppong,; Vereniging voor Studie- en Studentenbelangen (Delft)",Exergy efficient building design /,Book_thsis,276805981,906562175X^9789065621757,2008,5131636,,,
recommendation area,TR diss 5301,"Gehner, Ellen,",Knowingly taking risk :investment decision making in real estate development /,Book_thsis,276903372,9059722884^9789059722880,2008,5131806,,,
recommendation area,Hel,"Buxton, Bill.",Sketching User Experiences :Getting the Design Right and the Right Design /,Book,276910811,0123740371^9780123740373,2007,3856413,,,
recommendation area,TR diss 5288,"Perie, R.P.",All for one :factors for alignment of inter-dependent business processes at KLM and Schiphol /,Book_thsis,291185616,9090237135^9789090237138,2008,5131805,,,
recommendation area,TR diss 5358,"Djanashvili, Kristina,",Conjugates of lanthanide chelates and phenylboronates for molecular recognition of tumors /,Book_thsis,297169493,9090238077^9789090238074,2008,5131885,,,
recommendation area,TR diss 5360,"Veldhuizen, S. van",Efficient numerical methods for the instationary solution of laminar reacting gas flow problems /,Book_thsis,300205384,9090239677^9789090239675,2009,5131426,,,
recommendation area,TR diss 5371,"Boelen, Berend,; Corus Research, Development and Technology.",The influence of deformation on the product performance of pre-coated packaging steels /,Book_thsis,308104920,9080566152^9789080566156,2009,5131529,,,
recommendation area,Elkhuizen.7,"Dudley, Sandra H.,","Museum materialities :objects, engagements, interpretations /",Book,308216483,0415492173^0415492181^9780415492171^9780415492188,2010,5130065,,,
recommendation area,TR diss 5433,"Hofman, J.T.",Development of an observation and control system for industrial laser cladding /,Book_thsis,309193865,9077172424^9789077172421,2009,5132156,,,
recommendation area,TR diss 5338,"Tunas, Devisara",The spatial economy in the urban informal settlement /,Book_thsis,316145962,9078658126^9789078658122,2008,5132253,,,
recommendation area,Vos,"Obert, Ed.; Slingerland, Ronald,Leusink, Debbie J. W.Berg, Tobie van den.Koning, Justin H.Tooren, M. J. L. van.; Technische Hogeschool Delft.",Aerodynamic design of transport aircraft /,Book,318430967,1586039709^9781586039707,2009,5034964,,QMB209,
recommendation area,TR diss 5438,"Amelsfort, D. van; TRAIL Onderzoekschool.",Behavioural responses and network effects of time-varying road pricing /,Book_thsis,339877523,9055841145^9789055841141,2009,5132157,,,
recommendation area,TR diss 5440,"Raadgever, Gerrit Thomas,; Vereniging voor Studie- en Studentenbelangen (Delft)",Does collaboration enhance learning? :the challenge of learning from collaborative water management research /,Book_thsis,390844174,9065621946^9789065621948,2009,5132028,,,
recommendation area,"Anc, Liu, Mai, Tsu","McDonough, William,; Braungart, Michael,",Cradle to cradle :remaking the way we make things /,Book,426114124,0099535475^9780099535478,2009,5105510,30.00 EUR,ZBA209,
recommendation area,TR diss 5280,"Hajian, M.",Passive and active reconfigurable microstrip reflectarray antennas /,Book_thsis,430808005,909023134X^9789090231341,2008,5131687,,,
recommendation area,TR diss 5502,"Plomp, J.",Spin-echo development for a time-of-flight neutron reflectometer /,Book_thsis,431838085,9090241612^9789090241616,2009,5132160,,,
recommendation area,TR diss 5541,"Eddia, Soter,",Transport policy implementation and outcomes :the case of Yaounde in the 1990s /,Book_thsis,435528357,9055841137^9789055841134,2009,5131817,,,
recommendation area,TR diss 5539,"Winsemius, Hessel Constantijn,",Satellite data as complementary information for hydrological modelling /,Book_thsis,436913625,9065622071^9789065622075,2009,5132034,,,
recommendation area,Guo,"De Pater, Imke,; Lissauer, Jack Jonathan.",Planetary sciences /,Book,437299197,0521853710^9780521853712,2010,5111370,,FLE210,
recommendation area,TR diss 5537,"Gerasimov, Tymofiy,","The clamped elastic grid, a fourth order equation on a domain with corner /",Book_thsis,449621695,9090246231^9789090246239,2009,5131433,,,
recommendation area,TR diss 5566,"Arendsen, Jeroen,",Seeing signs :on the appearance of manual movements in gestures /,Book_thsis,453259745,9090246304^9789090246307,2009,5131344,,,
recommendation area,TR diss 5538,"Peddemors, Arjan",Network resource awareness and prediction on mobile devices /,Book_thsis,456518446,9075176716^9789075176711,2009,5131699,,,
recommendation area,Guo,"Rathgeber, Wolfgang.Schrogl, Kai-Uwe.Williamson, Ray A.,",The fair and responsible use of space :an international perspective /,Book,456903832,3211996524^9783211996522,2010,5124966,,QTA210,
recommendation area,TR diss 5717,"Verhoosel, C.V.; Technische Universiteit (Delft)",Multiscale and probabilistic modelling of micro electromechanical systems /,Book_thsis,460863429,9079488755^9789079488759,2009,5131446,,,
recommendation area,TR diss 5563,"Baskar, L.D.; TRAIL Onderzoekschool.",Traffic management and control in intelligent vehicle highway systems /,Book_thsis,463436774,905584120X^9789055841202,2009,5132163,,,
recommendation area,TR diss 5546,"Halkes, G.P.",MAC protocols for wireless sensor networks and their evaluation /,Book_thsis,464574814,9090244840^9789090244846,2009,5131700,,,
recommendation area,TR diss 5581,"Komoto, Hitoshi,; Vereniging voor Studie- en Studentenbelangen (Delft)",Computer aided product service systems design :service CAD and its integration with life cycle simulation /,Book_thsis,465372998,9065622292^9789065622297,2009,5131820,,,
recommendation area,TR diss 5553,"Kusumaningtyas, I.",Mind your step :exploring aspects in the application of long accelerating moving walkways /,Book_thsis,466353608,9055841226^9789055841226,2009,5131644,,,
recommendation area,TR diss 5558,"Konings, Rob","Intermodal barge transport: network design, nodes and competitiveness /",Book_thsis,469533181,9055841218^9789055841219,2009,5131702,,,
recommendation area,TR diss 5585,"Pinzón Cortes, Camila Eugenia,",Mapping urban form :morphology studies in the contemporary urban landscape /,Book_thsis,491899500,9081408828^9789081408820,2009,5132261,,,
recommendation area,TR diss 5762,"Rooij, J.P.G. de",Leadership for distributed teams /,Book_thsis,492883796,9090247815^9789090247816,2009,5131715,,,
recommendation area,TR diss 5562,"Knoop, Victor Lambert,",Road incidents and network dynamics :effects on driving behaviour and traffic congestion /,Book_thsis,495278679,9055841242^9789055841240,2009,5132162,,,
recommendation area,TR diss 5519,"Maat, K.",Built environment and car travel :analyses of interdependencies /,Book_thsis,496953107,1607500647^9781607500643,2009,5132161,,,
recommendation area,TR diss 5670,"Koenderink-Ketelaars, Nicole Josephina Johanna Petronella,",A knowledge-intensive approach to computer vision systems /,Book_thsis,500575231,9085855640^9789085855644,2010,5131350,,,
recommendation area,TR diss 5687,"Brasser, Helena Josephina,",A tracer aided study on silicon chemistry in biological systems /,Book_thsis,500818555,1607500833^9781607500834,2009,5131900,,,
recommendation area,TR diss 4600,"Terwoldeberhan, Tamrat W.",Gaining insight into business networks /,Book_thsis,503078120,9056381407^9789056381400,2005,5131789,,,
recommendation area,TR diss 5677,"Balen, Wim van,; Vereniging voor Studie- en Studentenbelangen (Delft)",Curved open-channel flows :a numerical study /,Book_thsis,607211121,9065622365^9789065622365,2010,5131443,,,
recommendation area,TR diss 5697,"Top, Jaap van den,; TRAIL Onderzoekschool.",Modelling risk control measures in railways :analysing how designers and operators organise safe rail traffic /,Book_thsis,609376950,9055841250^9789055841257,2010,5131826,,,
recommendation area,TR diss 5941,"Jansen, D.R.",An in vitro approach to evaluate and develop potential 117m Sn-based bone-seeking radiopharmaceuticals /,Book_thsis,638901380,1607505401^9781607505402,2010,5131903,,,
recommendation area,TR diss 5769,"Slob, Siefko.",Automated rock mass characterisation using 3-D terrestrial laser scanning /,Book_thsis,639931283,9090253645^9789090253640,2010,5131357,,,
recommendation area,TR diss 5691,"Wauben, Linda",Safety in the operating theatre :a multi factor approach for patients and teams /,Book_thsis,642701236,9051550626^9789051550627,2010,5131986,,,
recommendation area,TR diss 5757,"Timonova, Maria,",Improved atomic-scale simulations of silicon /,Book_thsis,645939429,9461130120^9789461130129,2010,5131449,,,
recommendation area,TR diss 5708,"Makasa, Paul Lombe Kasonde.",The 1996 Zambia National Housing Policy /,Book_thsis,646007036,1607505665^9781607505662,2010,5132266,,,
recommendation area,Wou,"Cuffey, Kurt.; Paterson, W. S. B.",The physics of glaciers /,Book,646392420,0123694612^9780123694614,2010,5130916,,SDK210,
recommendation area,TR diss 5686,"Abou, Diane",Somatostatin-receptors-targeted liposomes for MRI/SPECT dual imaging probes /,Book_thsis,650917772,1450701426^9781450701426,2010,5131352,,,
recommendation area,TR diss 5703,"Zwart, Sander Jaap,; Vereniging voor Studie- en Studentenbelangen (Delft)",Benchmarking water productivity in agriculture and the scope for improvement :remote sensing modelling from field to global scale /,Book_thsis,655175396,9065622373^9789065622372,2010,5132042,,,
recommendation area,TR diss 5709,"Soeter, J.P.; Vereniging voor Studie- en Studentenbelangen (Delft)","Bouw- en voorraadeconomie, 1960-2025 /",Book_thsis,655196906,9065622438^9789065622433,2010,5131827,,,
recommendation area,TR diss 5792,"Boer, E. de; TRAIL Onderzoekschool.",School concentration and school travel /,Book_thsis,659508605,9055841293^9789055841295,2009,5132174,,,
recommendation area,TR diss 5714,"Li, Peiyuan,",Micromilling of hardened tool steels /,Book_thsis,662259540,9090246401^9789090246406,2009,5131541,,,
recommendation area,TR diss 5598,"Jung, Nahm-chung.",Eco-hydraulic modelling of eutrophication for reservoir management /,Book_thsis,664329791,0415573823^9780415573825,2009,5132040,,,
recommendation area,TR diss 5782,"Meenderinck, C.H.",Improving the scalability of multicore systems :with a focus on H.264 video decoding /,Book_thsis,665731290,907229808X^9789072298089,2010,5131359,,,
recommendation area,TR diss 5490,"Botden, Sanne Marius Bernardine Ignatia,",Augmented reality simulation for laparoscopic training :realistic haptic feedback & meaningful assessment /,Book_thsis,666819416,9036737176^9789036737173,2009,5131432,,,
recommendation area,TR diss 5961,"Mookhoek, Steven Dirk,",Novel routes to liquid-based self-healing polymer systems /,Book_thsis,669751305,9090255923^9789090255927,2010,5131555,,,
recommendation area,TR diss 5847,"Vergeer, Robert,","Labour market flexibility, productivity and employment /",Book_thsis,669780174,9090255575^9789090255576,2010,5131828,,,
recommendation area,TR diss 5570,"Soetanto, D.P.",Entrepreneurial networks of university spin-offs :how social networks affect the growth of firms /,Book_thsis,669893915,9490122793^9789490122799,2009,5131703,,,
recommendation area,TR diss 5837,"Mai Van, C.",Probabilistic design of coastal flood defences in Vietnam /,Book_thsis,670043181,9090256482^9789090256481,2010,5131452,,,
recommendation area,TR diss 5865,"Zuurbier, F.S.; TRAIL Onderzoekschool.",Intelligent route guidance /,Book_thsis,682543903,9055841315^9789055841318,2010,5132178,,,
recommendation area,TR diss 5943,"Talgorn, Elise Claude Valentine,",Photoconductivity of quantum dot films :towards third-generation solar cells /,Book_thsis,682876432,9090257705^9789090257709,2010,5131276,,,
recommendation area,TR diss 5868,"Gerrits, A.M.J.; Vereniging voor Studie- en Studentenbelangen (Delft)",The role of interception in the hydrological cycle /,Book_thsis,688687848,9065622489^9789065622488,2010,5132053,,,
recommendation area,TR diss 6749,"Fenko, Anna,; Vereniging voor Studie- en Studentenbelangen (Delft)",Sensory dominance in product experience /,Book_thsis,688687934,9065622594^9789065622594,2010,5131856,,,
recommendation area,TR diss 5857,"Joore, J.P.; Vereniging voor Studie- en Studentenbelangen (Delft)Technische Universiteit (Delft).",New to improve :the mutual influence between new products and societal change processes /,Book_thsis,688692819,9065622543^9789065622549,2010,5131647,,,
recommendation area,TR diss 5861,"Rodrigues, Beatriz Russo,; Vereniging voor Studie- en Studentenbelangen (Delft)","Shoes, cars, and other love stories :investigating the experience of love for products /",Book_thsis,688927838,9065622551^9789065622556,2010,5131648,,,
recommendation area,Oor,"Ortúzar S., Juan de Dios,; Willumsen, Luis G.,",Modelling transport /,Book,689005360,0470760397^9780470760390,2011,5130124,75.00 EUR,TFP211,
recommendation area,TR diss 5864,"Kim, Nam Seok,",Intermodal freight transport on the right track? :environmental and economic performances and their trade-off /,Book_thsis,689995242,9055841374^9789055841370,2010,5131831,,,
recommendation area,TR diss 5862,"Hinsbergen, Chris van.",Bayesian data assimilation for improved modeling of road traffic /,Book_thsis,693568882,9055841323^9789055841325,2010,5132177,,,
recommendation area,TR diss 5892,"Bruns Alonso, Miguel,",Relax! :inherent feedback during product interaction to reduce stress /,Book_thsis,696116369,9081650610^9789081650618,2010,5131651,,,
recommendation area,TR diss 5596,"Bueren, Ellen Maria van.",Greening governance :an evolutionary approach to policy making for a sustainable built environment-sustainable urban areas /,Book_thsis,697378359,1607500787^9781607500780,2009,5131823,,,
recommendation area,TR diss 5676,"Hoefakker, Jeroen H.",Theory review for cylindrical shells and parametric study of chimneys and tanks /,Book_thsis,697463815,9059723635^9789059723634,2010,5131442,,,
recommendation area,TR diss 5707,"Eijk, Gwen van.","Unequal networks :spatial segregation, relationships and inequality in the city /",Book_thsis,697495677,160750555X^1607505568^9781607505556^9781607505563,2010,5132265,,,
recommendation area,TR diss 5859,"Alfonso Segura, Jose Leonardo.","Optimisation of monitoring networks for water systems :information theory, value of information and public participation /",Book_thsis,697609058,0415615801^9780415615808,2010,5132052,,,
recommendation area,TR diss 5858,"Snelder, Maaike,; TRAIL Onderzoekschool.",Designing robust road networks :a general design method applied to the Netherlands /,Book_thsis,698168773,9055841358^9789055841356,2010,5132176,,,
recommendation area,TR diss 5890,"Esfandiari Nia, F.",Sustainable air handling by evaporation and adsorption /,Book_thsis,698341077,909025918X^9789090259185,2011,5132054,,,
recommendation area,TR diss 5889,"Sheng, Q.; International Forum on Urbanism.",Changing centralities under urban configurational 'scale-structure' pondering the spatial conditions for market and retail areas in Beijing /,Book_thsis,700930447,9078658150^9789078658153,2011,5132271,,,
recommendation area,TR diss 5845,"Fennis-Huijben, S.A.A.M.",Design of ecological concrete by particle packing optimization /,Book_thsis,701023782,946108109X^9789461081094,2010,5131547,,,
recommendation area,TR diss 5884,"Demir, Erdem,",Understanding and designing for emotions /,Book_thsis,702354290,9065622616^9789065622617,2011,5131650,,,
recommendation area,TR diss 5372,"Heijden, Johannes Jan  van der,",Building regulatory enforcement regimes :comparative analysis of private sector involvement in the enforcement of public building regulations /,Book_thsis,703103395,1586039857^9781586039851,2009,5131810,,,
recommendation area,TR diss 6179,"Kocherzhenko, A.",Charge transport in disordered molecular systems /,Book_thsis,707077521,9090260277^9789090260273,2011,5131931,,,
recommendation area,TR diss 6029,"Kwakkel, Jan Hendrik,; TRAIL Onderzoekschool.",The treatment of uncertainty in airport strategic planning /,Book_thsis,711827158,9055841382^9789055841387,2010,5132182,,,
recommendation area,TR diss 5866,"Corman, Francesco,; TRAIL Onderzoekschool.","Real-time railway traffic management: dispatching in complex, large and busy railway networks /",Book_thsis,711827177,9055841331^9789055841332,2010,5131724,,,
recommendation area,Guo,"Fortescue, Peter W.Stark, John P. W.Swinerd, Graham.",Spacecraft systems engineering /,Book,712125136,047075012X^1119971004^1119971012^111997836X^1119978378^9780470750124^9781119971009^9781119971016^9781119978367^9781119978374,2011,5124969,70.00 EUR,QTD211,
recommendation area,TR diss 5978,"Heijer, A.C. den",Managing the university campus :information to support real estate decisions /,Book_thsis,719426175,9059724879^9059724887^9789059724877^9789059724884,2011,5131834,,,
recommendation area,TR diss 6019,"Oort, Niels van,; TRAIL Onderzoekschool.",Service reliability and urban public transport design /,Book_thsis,719923121,9055841420^9789055841424,2011,5132273,,,
